time,price,size,pricepersqft,brs,title,neighborhood,link
2016-05-10 17:54:00,3117.0,-1.0,-3117.0,1.0,Your Brand New Home Awaits You At THE CIVIC! Learn about our Specials!,hayes valley,https://sfbay.craigslist.org/sfc/apa/5580198899.html
2016-05-10 17:44:00,3400.0,-1.0,-3400.0,1.0,Brand New 1BR with Fantastic Views of City Hall!,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5580194677.html
2016-05-10 17:21:00,2695.0,-1.0,-2695.0,1.0,1 MONTH FREE! Great Lower Nob Hill One Bedroom Available!,lower nob hill,https://sfbay.craigslist.org/sfc/apa/5541208498.html
2016-05-10 16:48:00,3250.0,-1.0,-3250.0,1.0,"1BD 2BA Soma Loft, Pets OK, Wood Floors",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5547076115.html
2016-05-10 15:21:00,2495.0,-1.0,-2495.0,1.0,Bright One Bedroom Apartment - Tenderloin / Downtown!,tenderloin,https://sfbay.craigslist.org/sfc/apa/5579996253.html
2016-05-10 15:10:00,2495.0,-1.0,-2495.0,1.0,"347 Eddy #306 - 1 Bedroom (New Kitchen, New Bath)",tenderloin,https://sfbay.craigslist.org/sfc/apa/5564528687.html
2016-05-10 15:10:00,2495.0,-1.0,-2495.0,1.0,"516 Ellis #304 - 1 Bedroom (Corner Street View, French Doors)",tenderloin,https://sfbay.craigslist.org/sfc/apa/5553668108.html
2016-05-10 14:17:00,3495.0,-1.0,-3495.0,1.0,300 Buchanan 1BR*0 DEPOSIT*,hayes valley,https://sfbay.craigslist.org/sfc/apa/5545710340.html
2016-05-10 14:04:00,2195.0,-1.0,-2195.0,1.0,"Open House Today, Tue., 5/10, 7pm - 7:30pm, 360 Hyde St.",tenderloin,https://sfbay.craigslist.org/sfc/apa/5579868415.html
2016-05-10 13:04:00,3102.0,-1.0,-3102.0,1.0,Brand New 1BR Walking Distance From Everything!,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579740917.html
2016-05-10 12:54:00,3025.0,-1.0,-3025.0,1.0,This Brand New 1BR Apartment is Waiting For You! Tour THE CIVIC Today!,hayes valley,https://sfbay.craigslist.org/sfc/apa/5579726124.html
2016-05-10 12:45:00,2395.0,-1.0,-2395.0,1.0,Wait till you see this! Jr.1 bedroom: #406,tenderloin,https://sfbay.craigslist.org/sfc/apa/5579726308.html
2016-05-10 12:27:00,2495.0,-1.0,-2495.0,1.0,BRIGHT BEAUTIFUL Tenderloin 1BD $2495 Must See!,tenderloin,https://sfbay.craigslist.org/sfc/apa/5579622539.html
2016-05-10 11:47:00,2495.0,-1.0,-2495.0,1.0,Renovated Pet Friendly 1BD Hardwood Floors Bay Windows,tenderloin,https://sfbay.craigslist.org/sfc/apa/5579598759.html
2016-05-10 11:47:00,3000.0,-1.0,-3000.0,1.0,"restaurants &entertainment; facilities,",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579592154.html
2016-05-10 11:24:00,2934.0,-1.0,-2934.0,1.0,Large 1 Bedroom 1 Bath Starting at $ 2649.00,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579521418.html
2016-05-10 11:23:00,3350.0,-1.0,-3350.0,1.0,Brand new construction condo centrally located - OPEN THIS WEEK,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579562006.html
2016-05-10 11:15:00,2799.0,-1.0,-2799.0,1.0,1 Bedroom Available at 230 Dolores!,mission district,https://sfbay.craigslist.org/sfc/apa/5579502861.html
